VIN,MODEL_YEAR,FACTORY_CODE,MODEL_NAME,DAYS_TO_FAIL_MINZERO,MILES_TO_FAIL,RO_DATE,CUST_RO_STATE_CD,CLM_SK,VIN_SK
2HGFA16598H503275,2008,HCM,CIVIC,530,22782,6/8/2009,LA,49839516,27100077
2HGFA16598H505205,2008,HCM,CIVIC,337,29617,10/6/2008,AZ,47274483,27157820
2HGFA16598H510727,2008,HCM,CIVIC,1385,63541,10/21/2011,OR,60581380,27472964
2HGFA16598H519542,2008,HCM,CIVIC,1086,47060,4/2/2011,FL,57462108,28236125
2HGFA16598H522005,2008,HCM,CIVIC,551,22115,10/27/2009,NJ,51267990,28330923
2HGFA16598H523378,2008,HCM,CIVIC,527,19793,11/5/2009,NJ,51365721,28396994
2HGFA16598H523431,2008,HCM,CIVIC,771,23062,7/15/2010,NY,54295046,28397000
2HGFA16598H523767,2008,HCM,CIVIC,768,15407,8/13/2010,FL,54655893,28418843
2HGFA16598H526815,2008,HCM,CIVIC,590,35459,1/11/2010,AR,51940509,28534284
2HGFA16598H528872,2008,HCM,CIVIC,871,42421,11/27/2010,TX,55908929,28622457
2HGFA16598H529083,2008,HCM,CIVIC,99,12721,10/2/2008,AL,47587421,28637012
2HGFA16598H530850,2008,HCM,CIVIC,731,34251,7/20/2010,OR,54438044,28716312
2HGFA16598H530900,2008,HCM,CIVIC,781,31154,9/13/2010,FL,54989694,28721837
2HGFA16599H301859,2009,HCM,CIVIC,662,22246,10/1/2010,SC,55190168,29025826
2HGFA16599H302204,2009,HCM,CIVIC,405,19507,12/10/2009,FL,51703795,29025788
2HGFA16599H302672,2009,HCM,CIVIC,990,63622,10/18/2011,CA,60405967,29039676
2HGFA16599H302851,2009,HCM,CIVIC,747,19581,4/21/2011,PA,57650385,29039687
2HGFA16599H304681,2009,HCM,CIVIC,1060,29978,8/25/2011,GA,59501261,29069895
2HGFA16599H304728,2009,HCM,CIVIC,779,16702,11/30/2010,FL,55947426,29069899
2HGFA16599H304969,2009,HCM,CIVIC,154,5750,2/27/2009,NY,48975806,29075132
2HGFA16599H307385,2009,HCM,CIVIC,668,30459,8/5/2010,FL,54590234,29113384
2HGFA16599H308066,2009,HCM,CIVIC,593,33846,6/4/2010,AZ,53637499,29117435
2HGFA16599H309542,2009,HCM,CIVIC,1024,42834,8/11/2011,NC,58893529,29143427
2HGFA16599H326583,2009,HCM,CIVIC,297,14828,9/22/2009,NJ,50943359,29380796
2HGFA16599H329581,2009,HCM,CIVIC,635,25182,9/10/2010,FL,55152855,29424221
2HGFA16599H331489,2009,HCM,CIVIC,340,14920,3/4/2010,CA,52479824,29445868
2HGFA16599H332707,2009,HCM,CIVIC,916,22938,11/4/2011,NJ,60996224,29461323
2HGFA16599H332724,2009,HCM,CIVIC,999,35647,9/21/2011,FL,59577534,29461324
2HGFA16599H340175,2009,HCM,CIVIC,364,22981,6/10/2010,GA,53813964,29601231
2HGFA16599H341620,2009,HCM,CIVIC,411,49539,9/22/2010,FL,55102474,29621289
2HGFA16599H345036,2009,HCM,CIVIC,751,15063,4/18/2011,FL,57611364,29650278
